AGID	peptide_target	gene_name	antibody_origin	source	catalog_number	validation_status	gene_id
AGID00337	MERIT40	BABAM1	Rabbit	CST	12711	Caution	ENSG00000105393.16
AGID00338	MERIT40_pS29	BABAM1	Rabbit	CST	12110	Valid	ENSG00000105393.16
AGID02212	METTL3	METTL3	Rabbit	Abcam	ab195352	Valid	ENSG00000165819.12
AGID00225	MIF	MIF	Rabbit	Santa Cruz	sc-20121	Caution	ENSG00000240972.2
AGID00137	MIG6	ERRFI1	Mouse	Sigma-Aldrich	WH0054206M1	Valid	ENSG00000116285.13
AGID00403	MITF	MITF	Rabbit	Abcam	ab20663	Valid	ENSG00000187098.17
AGID00503	MITOCHONDRIA	<mitochondria>	Mouse	Abcam	ab3298	Valid	Unknown
AGID00321	Mitofusin-1	MFN1	Rabbit	CST	14739	Valid	ENSG00000171109.19
AGID00322	Mitofusin-2	MFN2	Rabbit	CST	11925	Valid	ENSG00000116688.18
AGID00389	MLH1	MLH1	Mouse	CST	3515	Valid	ENSG00000076242.16
AGID00312	MLKL	MLKL	Rabbit	CST	14993	Valid	ENSG00000168404.13
AGID00402	MMP14	MMP14	Mouse	Millipore Sigma	MAB3328	Valid	ENSG00000157227.13
AGID00045	MMP2	MMP2	Rabbit	CST	4022	Valid	ENSG00000087245.13
AGID00122	Mnk1	MKNK1	Rabbit	CST	2195	Valid	ENSG00000079277.22
AGID00331	MR1	MR1	Mouse	Santa Cruz	sc-377312	Caution	ENSG00000153029.14
AGID00273	MRAP	MRAP	Rabbit	Abcam	ab103319	Caution	ENSG00000170262.13
AGID00530	MRE11	MRE11	Rabbit	CST	4847	Caution	ENSG00000020922.13
AGID00390	MSH2	MSH2	Mouse	CST	2850	Valid	ENSG00000095002.15
AGID00138	MSH6	MSH6	Rabbit	sdix/Novus	22030002	Caution	ENSG00000116062.17
AGID00299	MSI2	MSI2	Rabbit	Abcam	ab76148	Caution	ENSG00000153944.12
AGID00232	MTCO1	MT-CO1	Mouse	Abcam	ab14705	Valid	ENSG00000198804.2
AGID00046	MTOR	MTOR	Rabbit	CST	2983	Valid	ENSG00000198793.13
AGID00047	MTOR_pS2448	MTOR	Rabbit	CST	2971	Caution	ENSG00000198793.13
AGID00204	MTSS1	MTSS1	Mouse	Novus/Abnova	H00009788-M01A	Caution	ENSG00000170873.19
AGID00401	MYH11	MYH11	Rabbit	Novus	21370002	Valid	ENSG00000133392.18
AGID00291	MYOSINIIA	MYH9	Rabbit	CST	3403	Caution	ENSG00000100345.22
AGID00173	MYOSINIIA_pS1943	MYH9	Rabbit	CST	5026	Valid	ENSG00000100345.22
AGID00318	Myt1	PKMYT1	Rabbit	CST	4282	Caution	ENSG00000127564.17
AGID00216	NAPSINA	NAPSA	Rabbit	Epitomics/Abcam	5795-1/ab129189	Caution	ENSG00000131400.8
AGID00418	NCADHERIN	CDH2	Rabbit	CST	4061	Valid	ENSG00000170558.10
AGID00156	NDRG1_pT346	NDRG1	Rabbit	CST	3217	Valid	ENSG00000104419.17
AGID02133	NDUFB4	NDUFB4	Rabbit	Invitrogen	PA5-45913	Valid	ENSG00000065518.8
AGID00134	NF2	NF2	Rabbit	Novus	22710002	Caution	ENSG00000186575.19
AGID00048	NFKBP65_pS536	RELA	Rabbit	CST	3033	Caution	ENSG00000173039.19
AGID02155	NOTCH1	NOTCH1	Rabbit	CST	3608	Valid	ENSG00000148400.12
AGID00340	Notch1-cleaved	NOTCH1	Rabbit	CST	4147	Valid	ENSG00000148400.12
AGID00087	Notch3	NOTCH3	Rabbit	Santa Cruz	sc-5593	Caution	ENSG00000074181.9
AGID00258	NQO1	NQO1	Mouse	CST	3187	Valid	ENSG00000181019.13
AGID00162	NRAS	NRAS	Mouse	Santa Cruz	sc-31	Valid	ENSG00000213281.5
AGID00257	NRF2	NFE2L2	Rabbit	CST	12721	Caution	ENSG00000116044.16
AGID00297	4-Oct	POU5F1	Rabbit	CST	2750	Caution	ENSG00000204531.20
AGID00420	P16INK4A	CDKN2A	Rabbit	Epitomics/Abcam	1712-1/ab40803	Caution	ENSG00000147889.18
AGID00384	P21	CDKN1A	Rabbit	Santa Cruz	sc-6246	Valid	ENSG00000124762.14
AGID00105	P27	CDKN1B	Rabbit	Epitomics/Abcam	1591-1/ab32034	Valid	ENSG00000111276.11
AGID00096	P27_pT157	CDKN1B	Rabbit	R&amp;D Systems	AF1555	Caution	ENSG00000111276.11
AGID00099	P27_pT198	CDKN1B	Rabbit	Abcam	ab64949	Valid	ENSG00000111276.11
AGID00181	p38-a	MAPK14	Mouse	CST	9228	Valid	ENSG00000112062.11
AGID00098	P38_pT180Y182	MAPK11/MAPK12/MAPK13/MAPK14	Rabbit	CST	9211	Valid	ENSG00000185386.15/ENSG00000188130.14/ENSG00000156711.17/ENSG00000112062.11
AGID00049	P38MAPK	MAPK11/MAPK12/MAPK14	Rabbit	CST	9212	Valid	ENSG00000185386.15/ENSG00000188130.14/ENSG00000112062.11
AGID00151	p44-42-MAPK	MAPK1/MAPK3	Rabbit	CST	4695	Valid	ENSG00000100030.15/ENSG00000102882.12
AGID00050	P53	TP53	Rabbit	CST	9282	Caution	ENSG00000141510.18
AGID00490	P62LCKLIGAND	SQSTM1	Mouse	BD Biosciences	610833	Caution	ENSG00000161011.20
AGID00545	P63	TP63	Rabbit	Abcam	ab53039	Caution	ENSG00000073282.14
AGID00052	P70S6K_pT389	RPS6KB1	Rabbit	CST	9205	Valid	ENSG00000108443.14
AGID00051	P70S6K1	RPS6KB1	Rabbit	Epitomics/Abcam	1494-1/ab32529	Valid	ENSG00000108443.14
AGID00085	P90RSK	RPS6KA1/RPS6KA2/RPS6KA3	Rabbit	CST	9347	Caution	ENSG00000117676.14/ENSG00000071242.12/ENSG00000177189.14
AGID00531	P90RSK_pT359S363	RPS6KA1	Rabbit	CST	9344	Caution	ENSG00000117676.14
AGID00182	p90RSK_pT573	RPS6KA1	Rabbit	CST	9346	Caution	ENSG00000117676.14
AGID00053	PAI1	SERPINE1	Mouse	BD Biosciences	612024	Valid	ENSG00000106366.9
AGID00224	PAICS	PAICS	Rabbit	Sigma-Aldrich	HPA035895	Caution	ENSG00000128050.9
AGID00323	PAK1	PAK1	Rabbit	CST	2602	Valid	ENSG00000149269.10
AGID02199	PAK4	PAK4	Rabbit	Invitrogen	PA5-69540	Valid	ENSG00000130669.17
AGID00245	PAR	<poly(ADP-ribose)>	Rabbit	Trevigen	4336-BPC-100	Caution	Unknown
AGID00374	PARG	PARG	Rabbit	CST	66564	Caution	ENSG00000227345.8
AGID00370	PARP1	PARP1	Rabbit	Santa Cruz	sc-7150	Caution	ENSG00000143799.14
AGID00468	PARPCLEAVED	PARP1	Mouse	CST	9546	Caution	ENSG00000143799.14
AGID00274	Patched	PTCH1	Rabbit	Abcam	ab53715	Caution	ENSG00000185920.16
AGID00513	PAX6	PAX6	Rabbit	CST	60433	Valid	ENSG00000007372.24
AGID00441	PAX8	PAX8	Rabbit	CST	9857	Caution	ENSG00000125618.17
AGID00054	PAXILLIN	PXN	Rabbit	CST	2542	Caution	ENSG00000089159.16
AGID00055	PCADHERIN	CDH3	Rabbit	CST	2130	Caution	ENSG00000062038.14
AGID00248	PCNA	PCNA	Mouse	Abcam	ab29	Caution	ENSG00000132646.11
AGID00413	PDCD1	PDCD1	Mouse	CST	43248	Valid	ENSG00000188389.11
AGID00094	PDCD4	PDCD4	Rabbit	Rockland	600-401-965	Caution	ENSG00000150593.18
AGID00385	PDGFRB	PDGFRB	Rabbit	CST	3169	Valid	ENSG00000113721.14
AGID00210	PDH	DLAT	Mouse	Abcam	ab110332	Valid	ENSG00000150768.16
AGID00324	PDHA1	PDHA1	Rabbit	CST	3205	Valid	ENSG00000131828.14
AGID00280	PDHK1	PDK1	Rabbit	CST	3820	Caution	ENSG00000152256.14
AGID00056	PDK1	PDPK1	Rabbit	CST	3062	Valid	ENSG00000140992.19
AGID00057	PDK1_pS241	PDPK1	Rabbit	CST	3061	Valid	ENSG00000140992.19
AGID00300	PDL1	CD274	Goat	Santa Cruz	sc-19090	Caution	ENSG00000120217.14
AGID00124	PEA15	PEA15	Rabbit	CST	2780	Valid	ENSG00000162734.13
AGID00125	PEA15_pS116	PEA15	Rabbit	Invitrogen	44-836G	Valid	ENSG00000162734.13
AGID00440	PERK	EIF2AK3	Rabbit	CST	3192	Valid	ENSG00000172071.14
AGID02207	PGM1	PGM1	Rabbit	Abcam	ab192876	Valid	ENSG00000079739.17
AGID00281	PHGDH	PHGDH	Rabbit	CST	13428	Caution	ENSG00000092621.13
AGID00425	PHLPP	PHLPP1	Rabbit	Proteintech	22789-1-AP	Valid	ENSG00000081913.14
AGID00226	PI3K-p110-b	PIK3CB	Mouse	Santa Cruz	sc-376412	Caution	ENSG00000051382.9
AGID00093	PI3KP110ALPHA	PIK3CA	Rabbit	CST	4255	Caution	ENSG00000121879.6
AGID00058	PI3KP85	PIK3R1	Rabbit	Millipore	06-195	Valid	ENSG00000145675.15
AGID00296	PKA-a	PRKAR1A	Rabbit	CST	5675	Valid	ENSG00000108946.15
AGID00259	PKC-a-b-II_pT638_T641	PRKCA/PRKCB	Rabbit	CST	9375	Valid	ENSG00000154229.12/ENSG00000166501.14
AGID00172	PKCALPHA	PRKCA	Mouse	Millipore	05-154	Valid	ENSG00000154229.12
AGID00460	PKCALPHA_pS657	PRKCA	Rabbit	Millipore	06-822	Caution	ENSG00000154229.12
AGID00114	PKCDELTA_pS664	PRKCD	Rabbit	Millipore	07-875	Valid	ENSG00000163932.15
AGID00163	PKCPANBETAII_pS660	PRKCA/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ	Rabbit	CST	9371	Valid	ENSG00000154229.12/ENSG00000166501.14/ENSG00000163932.15/ENSG00000171132.14/ENSG00000027075.15/ENSG00000065675.15
AGID00126	PKM2	PKM	Rabbit	CST	4053	Caution	ENSG00000067225.18
AGID00512	PLC-gamma1	PLCG1	Rabbit	CST	5690	Valid	ENSG00000124181.14
AGID02138	PLC-gamma2_pY759	PLCG2	Rabbit	GeneTex	GTX133463	Valid	ENSG00000197943.10
AGID00084	PLK1	PLK1	Rabbit	CST	4513	Caution	ENSG00000166851.15
AGID00203	PMS2	PMS2	Rabbit	Novus	22510002	Valid	ENSG00000122512.16
AGID00207	Porin	VDAC1	Mouse	Abcam	ab14734	Valid	ENSG00000213585.11
AGID00381	PR	PGR	Rabbit	Epitomics/Abcam	1483-1/ab32085	Valid	ENSG00000082175.15
AGID00081	PRAS40	AKT1S1	Mouse	Invitrogen	AHO1031	Caution	ENSG00000204673.11
AGID00082	PRAS40_pT246	AKT1S1	Rabbit	Invitrogen	44-1100G	Valid	ENSG00000204673.11
AGID00424	PRC1_pT481	PRC1	Rabbit	Aviva Systems Biology	OAAF05458	Caution	ENSG00000198901.14
AGID00492	PRDX1	PRDX1	Rabbit	Sigma-Aldrich	HPA007730	Under Evaluation	ENSG00000117450.15
AGID00190	PREX1	PREX1	Rabbit	Abcam	ab102739	Valid	ENSG00000124126.14
AGID00061	PTEN	PTEN	Rabbit	CST	9552	Valid	ENSG00000171862.11
AGID00364	PTPN12	PTPN12	Rabbit	Abcam	ab76942	Valid	ENSG00000127947.16
AGID00218	Puma	BBC3	Rabbit	CST	4976	Caution	ENSG00000105327.18
AGID00200	PYGB	PYGB	Rabbit	Sigma-Aldrich	SAB2900066	Valid	ENSG00000100994.12
AGID00535	PYGL	PYGL	Rabbit	Abcam	ab61013	Under Evaluation	ENSG00000100504.17
AGID00202	PYGM	PYGM	Mouse	Novus/Abnova	H00005837-M10	Caution	ENSG00000068976.14
AGID00275	Pyk2_pY402	PTK2B	Rabbit	CST	3291	Caution	ENSG00000120899.18
AGID00145	RAB11	RAB11A/RAB11B	Rabbit	CST	3539	Caution	ENSG00000103769.10/ENSG00000185236.12
AGID00169	RAB25	RAB25	Rabbit	CST	4314	Valid	ENSG00000132698.15
AGID00342	Rad23A	RAD23A	Rabbit	CST	24555	Caution	ENSG00000179262.10
AGID00261	RAD50	RAD50	Mouse	Millipore	05-525	Valid	ENSG00000113522.14
AGID00360	RAD51	RAD51	Mouse	Millipore	NA71	Caution	ENSG00000051180.17
AGID00158	RAPTOR	RPTOR	Rabbit	CST	2280	Valid	ENSG00000141564.15
AGID00059	RB	RB1	Mouse	CST	9309	Caution	ENSG00000139687.16
AGID00060	RB_pS807S811	RB1	Rabbit	CST	9308	Valid	ENSG00000139687.16
AGID00164	RBM15	RBM15	Rabbit	Novus	21390002	Valid	ENSG00000162775.16
AGID00547	RET_pY905	RET	Rabbit	CST	3221	Caution	ENSG00000165731.20
AGID00097	Rheb	RHEB	Mouse	R&amp;D Systems	MAB3426	Caution	ENSG00000106615.10
AGID00159	RICTOR	RICTOR	Rabbit	CST	2114	Caution	ENSG00000164327.13
AGID00160	RICTOR_pT1135	RICTOR	Rabbit	CST	3806	Valid	ENSG00000164327.13
AGID00282	RIP	RIPK1	Rabbit	CST	4926	Caution	ENSG00000137275.15
AGID00283	RIP3	RIPK3	Rabbit	CST	13526	Caution	ENSG00000129465.16
AGID00416	RPA32	RPA2	Rat	CST	2208	Valid	ENSG00000117748.10
AGID00246	RPA32_pS4_S8	RPA2	Rabbit	Bethyl	A300-245A	Caution	ENSG00000117748.10
AGID00341	RRM1	RRM1	Rabbit	CST	3388	Caution	ENSG00000167325.15
AGID00344	RRM2	RRM2	Rabbit	Life Technologies	PA5-27856	Caution	ENSG00000171848.16
AGID00554	RSK1	RPS6KA1	Rabbit	CST	8408	Valid	ENSG00000117676.14
AGID00353	S100A4	S100A4	Rabbit	CST	13018	Valid	ENSG00000196154.12
AGID00330	S6	RPS6	Mouse	CST	2317	Valid	ENSG00000137154.13
AGID00062	S6_pS235S236	RPS6	Rabbit	CST	2211	Valid	ENSG00000137154.13
AGID00063	S6_pS240S244	RPS6	Rabbit	CST	2215	Valid	ENSG00000137154.13
AGID00157	SCD1	SCD	Mouse	Santa Cruz	sc-58420	Valid	ENSG00000099194.6
AGID00230	SDHA	SDHA	Rabbit	CST	11998	Valid	ENSG00000073578.17
AGID00294	SETD2	SETD2	Rabbit	Abcam	ab69836	Caution	ENSG00000181555.21
AGID00161	SF2	SRSF1	Mouse	Invitrogen	32-4500	Valid	ENSG00000136450.13
AGID02179	SFRP1	SFRP1	Rabbit	CST	3534	Valid	ENSG00000104332.12
AGID00431	SGK1	SGK1	Rabbit	CST	12103	Valid	ENSG00000118515.11
AGID00430	SGK3	SGK3	Rabbit	CST	8156	Valid	ENSG00000104205.16
AGID02168	SHC_pY317	SHC1	Rabbit	Bioss	bs-3413R	Caution	ENSG00000160691.19
AGID00376	SHP2	PTPN11	Rabbit	CST	3397	Valid	ENSG00000179295.18
AGID00183	SHP2_pY542	PTPN11	Rabbit	CST	3751	Caution	ENSG00000179295.18
AGID02208	SIRP-alpha	SIRPA	Rabbit	Abcam	ab8120	Valid	ENSG00000198053.12
AGID00222	SLC1A5	SLC1A5	Rabbit	Santa Cruz	sc-99002	Valid	ENSG00000105281.12
AGID00255	Slfn11	SLFN11	Goat	Santa Cruz	sc-136891	Caution	ENSG00000172716.16
AGID00064	SMAC	DIABLO	Mouse	CST	2954	Caution	ENSG00000184047.20
AGID00113	SMAD1	SMAD1	Rabbit	Epitomics/Abcam	1649-1/ab33902	Valid	ENSG00000170365.10
AGID00091	SMAD3	SMAD3	Rabbit	Epitomics/Abcam	1735-1/ab40854	Valid	ENSG00000166949.16
AGID02160	SMAD4	SMAD4	Rabbit	CST	46535	Valid	ENSG00000141646.14
AGID00065	SNAIL	SNAI1	Mouse	CST	3895	Caution	ENSG00000124216.4
AGID00325	SOD1	SOD1	Mouse	CST	4266	Valid	ENSG00000142168.15
AGID00380	SOD2	SOD2	Rabbit	CST	13141	Valid	ENSG00000112096.19
AGID00298	Sox2	SOX2	Rabbit	CST	2748	Valid	ENSG00000181449.4
AGID00066	SRC	SRC	Mouse	Millipore	05-184	Valid	ENSG00000197122.12
AGID02157	SRC_pY416	SRC	Rabbit	CST	6943	Valid	ENSG00000197122.12
AGID00068	SRC_pY527	SRC	Rabbit	CST	2105	Valid	ENSG00000197122.12
AGID00185	Stat3	STAT3	Rabbit	CST	4904	Caution	ENSG00000168610.16
AGID00388	STAT3_pY705	STAT3	Rabbit	CST	9131	Valid	ENSG00000168610.16
AGID00069	STAT5ALPHA	STAT5A	Rabbit	Epitomics/Abcam	1289-1/ab32043	Valid	ENSG00000126561.17
AGID00077	STATHMIN	STMN1	Rabbit	Epitomics/Abcam	1972-1/ab52630	Valid	ENSG00000117632.23
AGID00357	STING	STING1	Rabbit	CST	13647	Valid	ENSG00000184584.13
AGID00128	SYK	SYK	Mouse	Santa Cruz	sc-1240	Valid	ENSG00000165025.15
AGID00070	Tau	MAPT	Mouse	Millipore	05-348	Caution	ENSG00000186868.16
AGID00327	TAZ	WWTR1	Rabbit	CST	2149	Valid	ENSG00000018408.15
AGID00228	TFAM	TFAM	Rabbit	CST	7495	Valid	ENSG00000108064.11
AGID00165	TFRC	TFRC	Rabbit	Novus	22500002	Valid	ENSG00000072274.13
AGID00149	TIGAR	TIGAR	Rabbit	Epitomics/Abcam	S1711/ab137573	Valid	ENSG00000078237.7
AGID00109	TRANSGLUTAMINASE	TGM2	Mouse	Lab Vision/Fisher	MS-224-P1	Valid	ENSG00000198959.12
AGID00406	TRAP1	TRAP1	Mouse	BD Biosciences	612344	Valid	ENSG00000126602.11
AGID00559	TRIM24	TRIM24	Rabbit	Invitrogen	PA5-34561	Caution	ENSG00000122779.18
AGID00306	TRIM25	TRIM25	Rabbit	Abcam	ab167154	Caution	ENSG00000121060.18
AGID00426	TRIP13	TRIP13	Rabbit	Invitrogen	PA5-52193	Valid	ENSG00000071539.14
AGID00155	TSC1	TSC1	Rabbit	CST	4906	Caution	ENSG00000165699.15
AGID00144	TTF1	NKX2-1	Rabbit	Epitomics/Abcam	2044-1/ab76013	Valid	ENSG00000136352.19
AGID00071	TUBERIN	TSC2	Rabbit	Epitomics/Abcam	1613-1/ab32554	Valid	ENSG00000103197.18
AGID02194	TUBERIN_pT1462	TSC2	Rabbit	Abcam	ab109403	Valid	ENSG00000103197.18
AGID00417	TUFM	TUFM	Rabbit	Abcam	ab173300	Valid	ENSG00000178952.11
AGID00238	Twist	TWIST1	Mouse	Santa Cruz	sc-81417	Caution	ENSG00000122691.13
AGID00436	Tyro3	TYRO3	Rabbit	CST	5585	Valid	ENSG00000092445.12
AGID00295	U-Histone-H2B	H2BC3	Rabbit	CST	5546	Caution	ENSG00000276410.4
AGID00214	UBAC1	UBAC1	Rabbit	Sigma-Aldrich	HPA005651	Valid	ENSG00000130560.9
AGID00351	UBQLN4	UBQLN4	Mouse	Santa Cruz	sc-136145	Caution	ENSG00000160803.8
AGID00213	UGT1A	UGT1A1/UGT1A3/UGT1A4/UGT1A5/UGT1A7/UGT1A8/UGT1A9/UGT1A10	Mouse	Santa Cruz	sc-271268	Valid	ENSG00000241635.8/ENSG00000243135.6/ENSG00000244474.6/ENSG00000240224.1/ENSG00000244122.2/ENSG00000242366.3/ENSG00000241119.2/ENSG00000242515.5
AGID00284	ULK1_pS757	ULK1	Rabbit	CST	6888	Caution	ENSG00000177169.10
AGID00208	UQCRC2	UQCRC2	Mouse	MitoSciences/Abcam	MS304/ab14745	Caution	ENSG00000140740.11
AGID00313	UVRAG	UVRAG	Rabbit	CST	13115	Caution	ENSG00000198382.9
AGID00073	VASP	VASP	Rabbit	CST	3112	Valid	ENSG00000125753.14
AGID00184	VAV1	VAV1	Rabbit	CST	2502	Caution	ENSG00000141968.8
AGID00074	VEGFR2	KDR	Rabbit	CST	2479	Valid	ENSG00000128052.10
AGID00421	VHL	VHL	Rabbit	CST	68547	Caution	ENSG00000134086.8
AGID00231	Vinculin	VCL	Mouse	Sigma-Aldrich	SAB4200080	Valid	ENSG00000035403.18
AGID00317	Wee1	WEE1	Rabbit	CST	4936	Caution	ENSG00000166483.11
AGID00354	Wee1_pS642	WEE1	Rabbit	CST	4910	Caution	ENSG00000166483.11
AGID00285	WIPI1	WIPI1	Rabbit	CST	12124	Caution	ENSG00000070540.13
AGID00286	WIPI2	WIPI2	Rabbit	CST	8567	Caution	ENSG00000157954.15
AGID02214	WTAP	WTAP	Rabbit	Abcam	ab195380	Valid	ENSG00000146457.16
AGID00133	XBP1	XBP1	Goat	Santa Cruz	sc-32136	Caution	ENSG00000100219.16
AGID00076	XIAP	XIAP	Rabbit	CST	2042	Caution	ENSG00000101966.13
AGID00241	XPA	XPA	Mouse	Santa Cruz	sc-56813	Valid	ENSG00000136936.11
AGID00349	XPF	ERCC4	Mouse	Abcam	ab3299	Caution	ENSG00000175595.15
AGID02137	XRCC1	XRCC1	Rabbit	Invitrogen	PA5-29359	Caution	ENSG00000073050.12
AGID00088	YAP	YAP1	Rabbit	Santa Cruz	sc-15407	Caution	ENSG00000137693.14
AGID00089	YAP_pS127	YAP1	Rabbit	CST	4911	Valid	ENSG00000137693.14
AGID00504	YB1	YBX1	Rabbit	Novus	17250002	Valid	ENSG00000065978.19
AGID00095	YB1_pS102	YBX1	Rabbit	CST	2900	Valid	ENSG00000065978.19
AGID02217	YTHDF2	YTHDF2	Rabbit	Abcam	ab220163	Valid	ENSG00000198492.16
AGID02210	YTHDF3	YTHDF3	Rabbit	Abcam	ab220161	Caution	ENSG00000185728.17
AGID00326	ZAP-70	ZAP70	Rabbit	CST	2705	Valid	ENSG00000115085.14
AGID00432	ZEB1	ZEB1	Rabbit	Santa Cruz	sc-25388	Valid	ENSG00000148516.22
