AGID	peptide_target	gene_name	antibody_origin	source	catalog_number	validation_status	gene_id
AGID00180	BIM	BCL2L11	Rabbit	Epitomics/Abcam	1036-1/ab32158	Valid	ENSG00000153094.24
AGID00221	BiP-GRP78	HSPA5	Mouse	BD Biosciences	610978	Caution	ENSG00000044574.8
AGID00373	BMK1-Erk5_pT218_Y220	MAPK7	Rabbit	Millipore	07-507	Valid	ENSG00000166484.20
AGID00355	BRAF	BRAF	Rabbit	Epitomics/Abcam	1647/ab33899	Valid	ENSG00000157764.14
AGID00014	BRAF_pS445	BRAF	Rabbit	CST	2696	Valid	ENSG00000157764.14
AGID00445	BRCA2	BRCA2	Rabbit	CST	9012	Caution	ENSG00000139618.16
AGID00266	BRD4	BRD4	Rabbit	CST	13440	Valid	ENSG00000141867.18
AGID00168	c-Abl_pY412	ABL1	Rabbit	CST	2865	Caution	ENSG00000097007.19
AGID00278	c-IAP2	BIRC3	Rabbit	CST	3130	Caution	ENSG00000023445.16
AGID00345	CA9	CA9	Rabbit	CST	5649	Caution	ENSG00000107159.13
AGID00265	CABL	ABL1	Rabbit	CST	2862	Valid	ENSG00000097007.19
AGID00429	Calnexin	CANX	Rabbit	CST	2679	Valid	ENSG00000127022.15
AGID00176	Caspase-8-cleaved	CASP8	Rabbit	CST	9496	Caution	ENSG00000064012.22
AGID00623	CASPASE3	CASP3	Rabbit	CST	9665	Under Evaluation	ENSG00000164305.19
AGID00015	CASPASE7CLEAVEDD198	CASP7	Rabbit	CST	9491	Caution	ENSG00000165806.21
AGID00118	CASPASE8	CASP8	Mouse	CST	9746	Caution	ENSG00000064012.22
AGID00537	CASPASE9	CASP9	Mouse	BD Biosciences	551246	Under Evaluation	ENSG00000132906.18
AGID00016	CAVEOLIN1	CAV1	Rabbit	CST	3238	Valid	ENSG00000105974.13
AGID00358	CD134	TNFRSF4	Rabbit	Abcam	ab76000	Valid	ENSG00000186827.11
AGID00303	CD171	L1CAM	Mouse	Biolegend	826701	Valid	ENSG00000198910.14
AGID00410	CD20	MS4A1	Rabbit	Epitomics/Abcam	1632-1/ab78237	Caution	ENSG00000156738.18
AGID00220	CD26	DPP4	Rabbit	Abcam	ab28340	Valid	ENSG00000197635.11
AGID00191	CD29	ITGB1	Mouse	BD Biosciences	610467	Valid	ENSG00000150093.20
AGID00017	CD31	PECAM1	Mouse	Dako	M0823	Valid	ENSG00000261371.6
AGID00369	CD38	CD38	Rabbit	Abcam	ab108403	Caution	ENSG00000004468.13
