collection,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2
ligand,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB
replicate,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C
Intensity_MinIntensity_KRT5,329.4,300.3,291.4,276,274.5,275.8,332.4,268.5,304.7,289,267.4,259.6,264.1,368.8,331.2,397.9,234,318.6,256,389.1,358.2,300.5,329.1,272.6,284.5,262.2,330.5,290,307.1,310.4,248.7,279,289.7,427.1,471,409.1,326,348.3,291.2,398.7,448.6,497.7,451.9,338.8,361.5,356.5,364.4,318.5,366.4,292,294,325.6,378.2,366.6,352.6,355.2,325.2,308.3,342.5,703.6,558.7,606,418.4,564.9,466.2,643.6,731.2,749,748.2,532.4,578.4,664.6,514.4,403.4,446.6,345.8,367,294.6,377.2,285,386,372.2,306.8,310.8,355.3,253.2,220.3,223.8,214.6,258.6,230.4,265,247.5,236.2,228.3,234.8,240.6,237.7
Intensity_StdIntensityEdge_CellMask,250.8,234.7,237.1,172.9,251,257.4,382.6,73.81,111.9,117.8,89.92,118.1,213.5,503.2,397.9,385.7,290.5,355.9,356.3,472.6,290.8,216.3,274.9,230.4,236.5,284,343.9,51.07,93.27,89.42,81.42,127.1,216.9,426.7,393.3,479.4,232.2,393.6,425.3,440.2,249,289.5,308,158.9,250.8,418,326.3,327.2,412.2,275,271.8,292.1,515.7,207.6,282.2,410.8,161,177.6,382.3,264.4,241.3,271,226.7,303.5,283.7,461.4,158,208.2,216.9,149.5,206.7,323.2,610.6,607.2,559.6,367.2,405.4,447.2,537.1,484.1,512.7,495.2,285.2,313.8,447.8,137.1,118.6,155.8,92.18,113,128.3,213.5,46.55,79.74,104.2,70.78,72.94,123.5
Intensity_StdIntensityEdge_KRT5,234.8,179,170.4,169.4,208.5,225.7,325.2,80.03,95.57,81.78,74.83,91.38,172.5,431.4,286.2,386.2,198.4,301.2,269.3,470.4,258.2,158.1,203.9,182.5,188,195.4,280,76.02,79.57,73.69,57.93,98.64,169.6,373.4,319.3,333.4,196.7,300.2,282.5,346.6,247.1,229.5,210.3,123.2,184.5,299.3,281.2,219.4,285.1,231.3,198,239.4,382.5,200.5,188.9,245.1,128.6,121.3,276.8,265.6,222.4,224,157.3,255.2,217.5,336.6,188.2,187.1,167.6,107.8,158.1,233.9,646.6,504.4,501.5,422.4,406,413.2,553.5,378.7,507.2,411.9,370.7,353,484.7,123.2,101.3,118.7,94.2,99.35,96.43,194.8,54.99,58.29,70,51.29,49.31,104.1
Intensity_StdIntensity_CellMask,392.9,348.3,375.6,294.1,345.6,398.5,531,115.6,179.4,187.8,158.2,181.6,345.7,705.8,517.4,508.8,363.4,411.3,438.5,507.3,446.7,317,395.5,406.5,380.5,435.4,513.1,77.12,139.5,123.4,141.6,176.9,339.1,519.4,416.7,535.3,331.2,451.2,477,521.2,251,305.7,307.2,171.8,261.7,493,498,472,548.5,442.3,430.9,452.5,662.2,233.3,319.5,456.6,217.3,222.4,491.6,331,317.7,362.1,298,367.1,338,540.8,151.5,220.9,224.5,169.8,228.6,383.6,754.5,721.2,651.2,435.2,437.2,580,630.3,707.2,722.4,575.6,325.3,331.5,579.4,291.7,246.9,336.5,194.9,229,252.7,403.4,90.8,162.6,225,159.3,147,244.3
Intensity_StdIntensity_KRT5,215.4,170.1,164.4,165.4,202.8,243.7,328.9,67.03,82.07,71.96,66.48,81.62,183.6,449.7,282.5,373,196.3,272.2,268,427.4,246.7,149.4,192.7,198.9,198.8,215.4,294.8,61.6,65.36,59.76,50.77,84.4,174.6,339.2,266.5,296,183.6,267.8,257.4,324,204.2,187.6,169,96.38,152.9,282.4,268.8,230.8,274.9,243.2,213.5,252.7,387.3,170.5,165.1,220.3,108.3,103.2,271.9,217.8,193.7,200.7,145.7,229.9,197.6,315.6,149.9,151,133.7,86.88,133.2,212.9,647.8,505.6,474.2,397.8,368.2,450.2,551.2,454,579,399.4,346.2,314.6,528.5,130.8,111.9,142.8,97.79,104,107.5,216.4,52.2,62.22,82.17,50.4,48.12,114.2
Intensity_UpperQuartileIntensity_CellMask,1180,1066,1144,850.2,1019,1069,1461,524,742.5,778.3,638.4,694.7,990.9,1821,1437,1414,988.8,1176,1157,1412,1327,1017,1218,1094,1084,1190,1435,456.9,695.6,700.6,622.5,736.6,1050,1574,1406,1644,1023,1357,1361,1545,977.2,1198,1250,767.3,947.7,1464,1439,1358,1604,1176,1214,1257,1877,894.5,1140,1474,815.3,850.8,1427,1461,1280,1474,1148,1376,1264,1922,974.1,1264,1392,1018,1159,1645,1972,1838,1788,1172,1228,1370,1598,1656,1708,1496,874.2,919.3,1354,902.1,756.8,939.2,561.6,729.8,748.1,1106,443.3,619.3,739.6,590.4,582.9,779.9
Intensity_UpperQuartileIntensity_KRT5,907.9,767.2,746,735.9,815.3,890.3,1190,448.6,529.9,495,448.7,479.4,743.5,1528,1074,1379,736.2,1023,934.4,1479,1021,710,837.3,807.2,812,812.3,1098,447,485.2,472.1,391.5,509.3,751.3,1329,1187,1191,830.5,1060,952.7,1247,1001,1006,917.3,621.1,777.4,1097,1087,915.6,1089,946.4,871.4,994.6,1388,796.8,776,915.9,619.7,583.2,1058,1333,1112,1174,836.1,1222,1022,1538,1177,1204,1150,794.2,962.3,1278,2154,1633,1642,1359,1302,1348,1733,1327,1766,1352,1161,1084,1638,607.2,520.2,594.6,490.2,552.1,527.1,830.1,389.1,407.7,444.3,377.2,377,555.3
AreaShape_Area,350.5,322.8,325.1,313.1,336.7,308.6,316.7,423.3,403.5,410,431.1,404,345.5,297.2,299,280.9,290.4,285.4,286.8,304.4,325.7,324.4,311,287.4,319,307.6,318.4,406,376.4,392.6,398.2,363.9,354.2,299.6,293,288,313,287.1,289.9,308.8,308.6,313.3,304.2,331.7,308.9,295.3,317.3,298.8,280.2,270.1,300.9,304.1,297.8,308.7,293.5,292,315.6,310.1,285.9,297.5,275.2,283.2,275.7,277.2,279.6,282.5,261.6,251.2,258.7,269,253,266.4,299.2,289.6,280.2,257.1,276.6,248.2,300.3,307.2,285.8,261.2,256.2,286.5,261.2,405.7,381.4,356.5,359.2,404,366.5,352.7,468.5,453.6,412.2,454.8,444.7,413.1
AreaShape_Compactness,1.069,1.067,1.064,1.058,1.064,1.068,1.076,1.078,1.07,1.076,1.074,1.072,1.076,1.08,1.079,1.078,1.085,1.09,1.092,1.102,1.076,1.079,1.077,1.072,1.077,1.069,1.082,1.068,1.074,1.072,1.067,1.07,1.076,1.086,1.09,1.094,1.082,1.09,1.08,1.1,1.097,1.089,1.095,1.074,1.08,1.099,1.077,1.078,1.084,1.068,1.064,1.065,1.116,1.117,1.114,1.143,1.095,1.092,1.097,1.065,1.069,1.069,1.067,1.074,1.068,1.086,1.066,1.06,1.064,1.063,1.061,1.067,1.112,1.112,1.114,1.098,1.1,1.11,1.126,1.138,1.112,1.102,1.106,1.136,1.114,1.07,1.074,1.087,1.073,1.062,1.065,1.084,1.09,1.091,1.105,1.089,1.089,1.075
AreaShape_Eccentricity,0.6331,0.6417,0.6422,0.6173,0.6164,0.6272,0.6414,0.6637,0.6472,0.6578,0.6536,0.6475,0.6524,0.6426,0.6434,0.642,0.642,0.6464,0.6466,0.6502,0.6482,0.6591,0.6549,0.6566,0.6521,0.6379,0.6541,0.6448,0.6552,0.6483,0.6462,0.6486,0.6534,0.6478,0.656,0.6648,0.6618,0.6642,0.6391,0.6728,0.66,0.6537,0.6561,0.6407,0.6441,0.6645,0.648,0.6499,0.654,0.6394,0.6256,0.6185,0.6629,0.69,0.6907,0.715,0.6809,0.6707,0.6684,0.6196,0.6291,0.6285,0.6251,0.6292,0.6119,0.6354,0.6058,0.6018,0.6131,0.6053,0.6049,0.612,0.6559,0.6597,0.6761,0.6666,0.6498,0.6639,0.6777,0.6596,0.6388,0.6599,0.6673,0.6845,0.6683,0.66,0.668,0.687,0.6589,0.6381,0.6302,0.6656,0.6837,0.687,0.7074,0.6845,0.684,0.654
